symbol,shortName,fundamental_total_score,fundamental_avg_score,fundamental_rating,technical_total_score,technical_avg_score,technical_rating,analysis_text,overall_avg_score,overall_total_score,overall_rating
2609.TW,YANG MING MARINE TRANSPORT CORP,90,9.0,A,33,6.6,B,"**[基本面分析] 2609.TW / YANG MING MARINE TRANSPORT CORP**
- PE: 4.71 => 明顯低於參考值(10)，對投資人相對有利 (score=10)
- PB: 0.73 => 明顯低於參考值(1)，對投資人相對有利 (score=10)
- Beta: 資料缺失
- ROE: 16.65% => 在 10.00% ~ 20.00% 的合理範圍 (score=5)
- DividendYield: 2.99% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 44.36% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 10.37 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 5.06 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 4.57 => 高於參考值(2)，值得肯定 (score=10)
- RevenueGrowth: 102.90% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 910.80% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 9.0 → 等級 A
- RSI: 34.74（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 26.91（趨勢中等） (score=6)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.6 → 等級 B",7.8,123,B
3533.TW,LOTES CO LTD,86,7.818181818181818,B,35,7.0,B,"**[基本面分析] 3533.TW / LOTES CO LTD**
- PE: 36.12 => 高於參考值(25)，需留意高估風險 (score=2)
- PB: 7.54 => 高於參考值(5)，需留意高估風險 (score=2)
- Beta: 0.34 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 25.82% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 1.57% => 低於參考值(200.00%) (score=2)
- PEG: 資料缺失
- OperatingMargin: 34.80% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 7.62 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 2.87 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 2.58 => 高於參考值(2)，值得肯定 (score=10)
- RevenueGrowth: 28.90% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 74.10% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 7.8 → 等級 B
- RSI: 55.30（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 22.29（趨勢中等） (score=6)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 7.0 → 等級 B",7.409090909090909,121,B
0050.TW,YUANTA SECURITIES INV TRUST CO ,43,7.166666666666667,B,36,7.2,B,"**[基本面分析] 0050.TW / YUANTA SECURITIES INV TRUST CO **
- ETF_PE: 21.84 => 介於 10~25 的區間 (score=5)
- ETF_Yield: 2.04% => 在 2~6 的區間 (score=5)
- totalAssets: 435,205,963,776 => 在 100000000000.0~500000000000.0 的區間 (score=5)
- ETF_Beta3Y: 1.07 => 在 0.8 ~ 1.2 的波動區間 (score=8)
- threeYearAverageReturn: 14.69% => 高於參考值(0.1)，表現不錯 (score=10)
- fiveYearAverageReturn: 19.13% => 高於參考值(0.1)，表現不錯 (score=10)

【基本面評級】平均分數 7.2 → 等級 B
- RSI: 62.17（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 10.21（趨勢弱） (score=5)
- 成交量趨勢: 增加中（趨勢確認） (score=7)

【技術面評級】平均分數 7.2 → 等級 B",7.183333333333334,79,B
3008.TW,LARGAN PRECISION CO,82,6.833333333333333,B,37,7.4,B,"**[基本面分析] 3008.TW / LARGAN PRECISION CO**
- PE: 16.72 => 介於 10 ~ 25 的區間 (score=5)
- PB: 2.11 => 介於 1 ~ 5 的區間 (score=5)
- Beta: 0.84 => 介於 0.8 ~ 1.2 的區間 (score=5)
- ROE: 13.27% => 在 10.00% ~ 20.00% 的合理範圍 (score=5)
- DividendYield: 2.93% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 64.92 => 高於參考值(2)，需留意高估風險 (score=2)
- OperatingMargin: 41.17% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 0.12 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 4.80 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 4.56 => 高於參考值(2)，值得肯定 (score=10)
- RevenueGrowth: 39.00% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 11.40% => 在 5.00% ~ 20.00% 的合理範圍 (score=5)

【基本面評級】平均分數 6.8 → 等級 B
- RSI: 60.02（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 36.26（趨勢中等） (score=6)
- 成交量趨勢: 增加中（趨勢確認） (score=7)

【技術面評級】平均分數 7.4 → 等級 B",7.116666666666667,119,B
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,83,6.916666666666667,B,36,7.2,B,"**[基本面分析] 2330.TW / TAIWAN SEMICONDUCTOR MANUFACTUR**
- PE: 28.00 => 高於參考值(25)，需留意高估風險 (score=2)
- PB: 7.38 => 高於參考值(5)，需留意高估風險 (score=2)
- Beta: 1.23 => 高於參考值(1.2)，需留意高估風險 (score=2)
- ROE: 28.03% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 1.50% => 低於參考值(200.00%) (score=2)
- PEG: 1.16 => 介於 1 ~ 2 的區間 (score=5)
- OperatingMargin: 47.49% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 24.08 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 2.57 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 2.24 => 高於參考值(2)，值得肯定 (score=10)
- RevenueGrowth: 39.00% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 54.20% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.9 → 等級 B
- RSI: 61.61（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 13.63（趨勢弱） (score=5)
- 成交量趨勢: 增加中（趨勢確認） (score=7)

【技術面評級】平均分數 7.2 → 等級 B",7.058333333333334,119,B
0056.TW,YUANTA SECURITIES INV TRUST CO ,46,7.666666666666667,B,32,6.4,B,"**[基本面分析] 0056.TW / YUANTA SECURITIES INV TRUST CO **
- ETF_PE: 13.28 => 介於 10~25 的區間 (score=5)
- ETF_Yield: 9.93% => 高於參考值(6)，表現不錯 (score=10)
- totalAssets: 362,131,161,088 => 在 100000000000.0~500000000000.0 的區間 (score=5)
- ETF_Beta3Y: 0.74 => 波動低於市場平均(0.8) (score=6)
- threeYearAverageReturn: 12.46% => 高於參考值(0.1)，表現不錯 (score=10)
- fiveYearAverageReturn: 12.34% => 高於參考值(0.1)，表現不錯 (score=10)

【基本面評級】平均分數 7.7 → 等級 B
- RSI: 52.44（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 < SMA200（死亡交叉，趨勢向下） (score=5)
- ADX: 18.02（趨勢弱） (score=5)
- 成交量趨勢: 增加中（趨勢確認） (score=7)

【技術面評級】平均分數 6.4 → 等級 B",7.033333333333333,78,B
00878.TW,CATHAY SECS INV TRUST CO LTD TA,36,7.2,B,34,6.8,B,"**[基本面分析] 00878.TW / CATHAY SECS INV TRUST CO LTD TA**
- ETF_PE: 17.24 => 介於 10~25 的區間 (score=5)
- ETF_Yield: 9.08% => 高於參考值(6)，表現不錯 (score=10)
- totalAssets: 376,320,786,432 => 在 100000000000.0~500000000000.0 的區間 (score=5)
- ETF_Beta3Y: 0.58 => 波動低於市場平均(0.8) (score=6)
- threeYearAverageReturn: 13.04% => 高於參考值(0.1)，表現不錯 (score=10)
- fiveYearAverageReturn: 資料缺失

【基本面評級】平均分數 7.2 → 等級 B
- RSI: 54.27（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 15.84（趨勢弱） (score=5)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.8 → 等級 B",7.0,70,B
006208.TW,FUBON ASSET MANAGEMENT CO LTD F,40,6.666666666666667,B,36,7.2,B,"**[基本面分析] 006208.TW / FUBON ASSET MANAGEMENT CO LTD F**
- ETF_PE: 21.99 => 介於 10~25 的區間 (score=5)
- ETF_Yield: 1.48% => 低於參考值(2) (score=2)
- totalAssets: 185,936,510,976 => 在 100000000000.0~500000000000.0 的區間 (score=5)
- ETF_Beta3Y: 1.08 => 在 0.8 ~ 1.2 的波動區間 (score=8)
- threeYearAverageReturn: 15.48% => 高於參考值(0.1)，表現不錯 (score=10)
- fiveYearAverageReturn: 19.70% => 高於參考值(0.1)，表現不錯 (score=10)

【基本面評級】平均分數 6.7 → 等級 B
- RSI: 63.38（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 10.72（趨勢弱） (score=5)
- 成交量趨勢: 增加中（趨勢確認） (score=7)

【技術面評級】平均分數 7.2 → 等級 B",6.933333333333334,76,B
2886.TW,MEGA FINANCIAL HOLDING CO,55,6.875,B,34,6.8,B,"**[基本面分析] 2886.TW / MEGA FINANCIAL HOLDING CO**
- PE: 16.06 => 介於 10 ~ 25 的區間 (score=5)
- PB: 1.67 => 介於 1 ~ 5 的區間 (score=5)
- Beta: 0.48 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 10.55% => 在 10.00% ~ 20.00% 的合理範圍 (score=5)
- DividendYield: 3.75% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 51.29% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 資料缺失
- CurrentRatio: 資料缺失
- QuickRatio: 資料缺失
- RevenueGrowth: 25.40% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 11.50% => 在 5.00% ~ 20.00% 的合理範圍 (score=5)

【基本面評級】平均分數 6.9 → 等級 B
- RSI: 46.83（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 16.49（趨勢弱） (score=5)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.8 → 等級 B",6.8375,89,B
2884.TW,E SUN FINANCIAL HOLDINGS,55,6.875,B,34,6.8,B,"**[基本面分析] 2884.TW / E SUN FINANCIAL HOLDINGS**
- PE: 16.75 => 介於 10 ~ 25 的區間 (score=5)
- PB: 1.88 => 介於 1 ~ 5 的區間 (score=5)
- Beta: 0.52 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 10.41% => 在 10.00% ~ 20.00% 的合理範圍 (score=5)
- DividendYield: 4.49% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 44.85% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 資料缺失
- CurrentRatio: 資料缺失
- QuickRatio: 資料缺失
- RevenueGrowth: 15.10% => 在 5.00% ~ 20.00% 的合理範圍 (score=5)
- EarningsGrowth: 43.40% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.9 → 等級 B
- RSI: 58.40（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 13.28（趨勢弱） (score=5)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.8 → 等級 B",6.8375,89,B
